"COU","Country","SER","Service","EXP","Expression","MEASURE","Measure","PAR","Partner","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","CHN","China (People’s Republic of)","2014","2014","USD","US Dollar","6","Millions",,,312.2,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","TWN","Chinese Taipei","2014","2014","USD","US Dollar","6","Millions",,,-19.9,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","HKG","Hong Kong (China)","2014","2014","USD","US Dollar","6","Millions",,,-17.3,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","IND","India","2014","2014","USD","US Dollar","6","Millions",,,-70.4,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","IDN","Indonesia","2014","2014","USD","US Dollar","6","Millions",,,22.6,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","KAZ","Kazakhstan","2014","2014","USD","US Dollar","6","Millions",,,-50.5,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","PRK","Korea, Democratic People's Republic of","2014","2014","USD","US Dollar","6","Millions",,,4,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","LAO","Lao People's Democratic Republic","2014","2014","USD","US Dollar","6","Millions",,,23.9,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","MYS","Malaysia","2014","2014","USD","US Dollar","6","Millions",,,-110.3,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","MDV","Maldives","2014","2014","USD","US Dollar","6","Millions",,,-22.6,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","MNG","Mongolia","2014","2014","USD","US Dollar","6","Millions",,,-4,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","MMR","Myanmar","2014","2014","USD","US Dollar","6","Millions",,,-2.7,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","NPL","Nepal","2014","2014","USD","US Dollar","6","Millions",,,-1.3,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","PAK","Pakistan","2014","2014","USD","US Dollar","6","Millions",,,4,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","PHL","Philippines","2014","2014","USD","US Dollar","6","Millions",,,-10.6,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","SGP","Singapore","2014","2014","USD","US Dollar","6","Millions",,,9.3,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","LKA","Sri Lanka","2014","2014","USD","US Dollar","6","Millions",,,-8,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","TJK","Tajikistan","2014","2014","USD","US Dollar","6","Millions",,,2.7,,
"AUT","Austria","S","SERVICES","NET","Net","USD","Millions of  US dollars","THA","Thailand","2014","2014","USD","US Dollar","6","Millions",,,-111.6,,
