country1,country2,value
andorra,burkinafaso,18
andorra,burundi,17
andorra,car,16
andorra,cambodia,18
andorra,cameroon,17
andorra,canada,18
andorra,capeverde,15
andorra,chad,17
andorra,chile,18
andorra,china,15
andorra,colombia,18
andorra,comoros,15
andorra,congobrazz,18
andorra,costarica,17
andorra,croatia,19
andorra,cuba,17
andorra,cyprus,19
andorra,czechrep,19
andorra,denmark,18
andorra,djibouti,15
andorra,domrepublic,16
andorra,dominica,14
andorra,etimor,10
andorra,ecuador,18
andorra,egypt,17
andorra,elsalvador,15
andorra,eqguinea,14
andorra,eritrea,11
andorra,estonia,18
andorra,ethiopia,11
andorra,fyromacedonia,19
andorra,fiji,12
andorra,finland,19
andorra,france,22
andorra,gabon,18
andorra,gambia,15
andorra,georgia,18
andorra,germany,19
andorra,ghana,16
andorra,greece,21
andorra,grenada,12
andorra,guatemala,18
andorra,guinea,18
andorra,guineabissau,15
andorra,guyana,14
andorra,haiti,17
andorra,honduras,17
andorra,hungary,18
andorra,iceland,17
andorra,india,14
andorra,indonesia,14
andorra,iran,14
andorra,iraq,13
andorra,ireland,17
andorra,israel,15
andorra,italy,20
andorra,ivorycoast,19
andorra,jamaica,12
andorra,japan,16
andorra,jordan,15
andorra,kazakhstan,14
andorra,kenya,16
andorra,kiribati,6
andorra,kuwait,15
andorra,kyrgyzstan,13
andorra,laos,16
andorra,latvia,18
andorra,lebanon,16
andorra,lesotho,14
andorra,liberia,13
andorra,libya,14
andorra,liechtenstein,11
andorra,lithuania,19
andorra,luxembourg,19
andorra,madagascar,18
andorra,malawi,15
andorra,malaysia,16
andorra,maldives,13
andorra,mali,17
andorra,malta,19
andorra,marshallis,8
andorra,mauritania,17
andorra,mauritius,18
andorra,mexico,18
andorra,micronesiafs,6
andorra,moldova,20
andorra,monaco,19
andorra,mongolia,16
andorra,morocco,17
andorra,montenegro,17
andorra,mozambique,15
andorra,myanmar,11
andorra,namibia,16
andorra,nauru,8
andorra,nepal,15
andorra,netherlands,19
andorra,newzealand,15
andorra,nicaragua,16
andorra,niger,17
andorra,nigeria,15
andorra,nokorea,11
andorra,norway,19
andorra,oman,14
andorra,pakistan,15
andorra,palau,5
andorra,panama,17
andorra,papuanewguinea,13
andorra,paraguay,18
andorra,peru,18
andorra,philippines,17
andorra,poland,19
andorra,portugal,21
andorra,qatar,14
andorra,romania,22
andorra,russia,17
andorra,rwanda,16
andorra,sanmarino,17
andorra,saotome,15
andorra,saudiarabia,15
andorra,senegal,19
andorra,seychelles,17
