Country,Partner,Value
finland,cyprus,18.6
czechia,luxembourg,284.4
denmark,japan,608.3
czechia,nepal,0.1
denmark,poland,384.1
germany,turkey,5323.3
belgium,slovakia,228.5
estonia,switzerland,197.7
belgium,luxembourg,5553.2
estonia,algeria,0.4
belgium,ukraine,42.5
estonia,malta,14.1
denmark,botswana,4.5
denmark,northmacedonia,8.5
france,iran,79.7
germany,equatorialguinea,17.3
germany,chad,1.3
denmark,solomonislands,1.1
germany,hungary,635.4
france,cuba,140.8
czechia,australia,37.0
france,bahamas,50.5
czechia,moldova,15.5
estonia,greece,43.5
czechia,morocco,1.7
germany,costarica,17.3
belgium,suriname,2.7
finland,rwanda,2.7
germany,gambia,10.6
estonia,belize,0.4
germany,ivorycoast,9.3
belgium,georgia,21.3
denmark,maldives,5.2
france,liechtenstein,1.3
france,benin,58.5
czechia,tunisia,61.6
denmark,srilanka,39.7
france,senegal,163.4
germany,italy,9183.7
denmark,italy,201.7
belgium,guatemala,1.3
czechia,kenya,2.1
czechia,eritrea,0.1
belgium,niger,4.0
estonia,namibia,0.1
finland,eritrea,2.7
france,chile,118.2
belgium,panama,38.5
belgium,pakistan,19.9
czechia,pakistan,3.7
germany,bosnia,94.3
finland,vietnam,30.6
denmark,benin,10.1
czechia,laos,0.0
france,costarica,70.4
germany,thailand,1169.1
estonia,kyrgyzstan,0.7
belgium,mexico,519.4
denmark,qatar,168.2
estonia,hungary,48.8
denmark,costarica,12.5
germany,qatar,208.6
belgium,romania,337.4
denmark,guatemala,8.8
france,laos,30.6
france,brazil,1223.5
denmark,gambia,0.4
denmark,libya,50.5
finland,sweden,1909.4
czechia,suriname,0.3
czechia,brazil,3.3
denmark,norway,2611.4
france,sudan,2.7
finland,kazakhstan,25.2
belgium,bangladesh,4.0
estonia,australia,17.9
denmark,brazil,486.5
czechia,palau,0.0
czechia,guatemala,0.0
finland,latvia,51.8
estonia,turkey,29.1
czechia,georgia,17.2
france,qatar,713.4
finland,capeverde,21.3
denmark,sudan,5.0
estonia,mauritius,0.4
denmark,ukraine,2.3
france,estonia,61.0
germany,togo,8.0
germany,somalia,1.3
germany,burkinafaso,5.3
france,dominica,12.0
belgium,nigeria,78.4
france,guineabissau,1.3
finland,brazil,70.4
denmark,china,928.5
denmark,estonia,31.7
france,mali,33.2
finland,sudan,9.3
belgium,usa,1117.4
france,luxembourg,6249.3
estonia,ivorycoast,0.1
france,slovakia,98.1
czechia,northmacedonia,3.6
denmark,afghanistan,27.2
germany,dominica,4.0
belgium,ethiopia,83.7
czechia,bahamas,0.4
france,togo,45.2
finland,norway,86.4
denmark,bulgaria,85.7
france,burkinafaso,30.6
finland,qatar,53.1
france,ukraine,54.5
denmark,iran,3.3
belgium,ireland,1393.6
finland,costarica,1.3
czechia,djibouti,0.0
denmark,congo,34.5
france,jamaica,17.3
belgium,norway,99.6
finland,uk,2178.9
germany,liechtenstein,217.9
denmark,togo,13.7
denmark,burkinafaso,0.9
czechia,kazakhstan,29.7
estonia,bhutan,0.1
belgium,srilanka,4.0
denmark,jamaica,1.6
belgium,kuwait,10.6
france,maldives,74.4
finland,iceland,68.7
denmark,mali,101.1
czechia,iraq,1.1
estonia,bahrain,0.1
czechia,nauru,0.0
belgium,lithuania,172.3
finland,laos,5.3
denmark,slovakia,58.0
czechia,vietnam,2.5
germany,maldives,144.8
estonia,uzbekistan,1.7
germany,indonesia,195.3
czechia,dominicanrepublic,0.9
estonia,spain,111.9
belgium,cambodia,4.0
estonia,cyprus,87.3
estonia,portugal,19.9
belgium,swaziland,1.3
czechia,mali,0.0
denmark,latvia,218.6
czechia,jamaica,0.1
germany,zimbabwe,9.3
germany,latvia,179.4
estonia,honduras,0.1
finland,slovakia,41.2
germany,capeverde,63.8
czechia,bulgaria,387.0
estonia,uae,4.9
czechia,usa,209.9
denmark,kazakhstan,8.2
czechia,slovakia,58.8
france,mozambique,13.3
belgium,botswana,4.0
belgium,cuba,23.9
germany,azerbaijan,43.8
france,sweden,993.9
czechia,congo,2.0
germany,grenada,2.7
finland,mali,5.3
estonia,tanzania,0.5
germany,liberia,191.3
france,zimbabwe,5.3
germany,mozambique,14.6
denmark,sweden,2364.9
estonia,ecuador,0.1
belgium,ghana,59.8
germany,sweden,1785.9
france,capeverde,61.1
denmark,vietnam,2.0
france,latvia,168.7
finland,liechtenstein,1.3
germany,peru,17.3
